"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"Hamlet2014","no","NA","NA","-"
"Hanelt2015","no","NA","NA","-"
"Hanischblicharski2012","no","NA","NA","-"
"Hanus2012","no","NA","NA","-"
"Harlan2016","no","NA","NA","-"
"Harrellwilliams2013","no","NA","NA","-"
"Harrington2010","no","NA","NA","-"
"Hartl2019","no","NA","NA","-"
"Harvey2010","no","NA","NA","-"
"Hasheelamufeti2017","no","NA","NA","-"
"Hassan2018","no","NA","NA","-"
"Hatipoglu2014","no","NA","NA","-"
"Haute2012","no","NA","NA","-"
"He2014","no","NA","NA","-"
"Headd2009","no","NA","NA","-"
"Hedman2000","no","NA","NA","-"
"Heideman2010","no","NA","NA","-"
"Hein2018","no","NA","NA","-"
"Hemenway2011","no","NA","NA","-"
"Henderson1978","no","NA","NA","-"
"Henderson1978a","no","NA","NA","-"
"Hernan1991","no","NA","NA","-"
"Hettiachchi2020","no","NA","NA","-"
"Hiedanp2013","no","NA","NA","-"
"Ho2002","no","NA","NA","-"
"Hochuli1993","no","NA","NA","-"
"Hodgetts2015","no","NA","NA","-"
"Hoerndlein2012","no","NA","NA","-"
"Hoffmann2018","no","NA","NA","-"
"Holmstrm2011","no","NA","NA","-"
"Hong2002","yes","TODO","TODO","-"
"Honn2012","no","NA","NA","-"
"Hornyak2020","no","NA","NA","-"
"Hossain2012","no","NA","NA","-"
"Hovorka2005","no","NA","NA","-"
"Howard2019","no","NA","NA","-"
"Howcroft2002","no","NA","NA","-"
"Howcroft2006","no","NA","NA","-"
"Howcroft2010","no","NA","NA","-"
"Hsiao2002","no","NA","NA","-"
"Hu2018","no","NA","NA","-"
"Huang2009","no","NA","NA","-"
"Huang2013","no","NA","NA","-"
"Huang2014","no","NA","NA","-"
"Huang2018","no","NA","NA","-"
"Huang2018a","no","NA","NA","-"
"Huang2020","no","NA","NA","-"
"Hummel2021","no","NA","NA","-"
"Hung2007","no","NA","NA","-"
"Hung2009","no","NA","NA","-"
"Hung2012","yes","TODO","TODO","-"
"Hung2013","yes","TODO","TODO","-"
"Hung2014","yes","TODO","TODO","-"
"Huntgeburth2013","no","NA","NA","-"
"Hurst2018","no","NA","NA","-"
"Hussain2016","no","NA","NA","-"
"Hustad2011","no","NA","NA","-"
"Hustad2016","yes","TODO","TODO","-"
"Ifinedo2014","no","NA","NA","-"
"Im2003","no","NA","NA","-"
"Imbriani2020","no","NA","NA","-"
